bidder_id,company_name,gstin,pan,udyam_number,cin,registered_state,msme_category,tender_category,bid_id,profile_tag,reference_compliance_score,reference_risk_level
BID-00001,Shree Solutions,02CTOPA0265W1Z9,KLHWT1422Y,UDYAM-MH-11-2714803,U22156DL2017PTC201414,MH,Micro,Goods,GEM/2026/B/5437923,CLEAN,100,LOW
BID-00002,Star Textiles,01HQXJE0679H1Z2,JLVEJ6760U,UDYAM-UP-06-9961380,U42087DL2010PTC584714,UP,Micro,Services,GEM/2026/B/4684531,CLEAN,100,LOW
BID-00003,National Traders,06BXOSF4861E1Z4,TOTLP3914Y,UDYAM-GJ-02-2839607,U30033DL2010PTC930555,GJ,Micro,Services,GEM/2026/B/7455324,CLEAN,100,LOW
BID-00004,Star Textiles,10ASRNG6144X1Z5,ZTNCQ8513F,UDYAM-HR-18-9897858,U10074DL2015PTC612340,HR,Small,Works,GEM/2026/B/2321324,MAJOR_ISSUES,35,HIGH
BID-00005,Bharat Textiles,08YENPZ9767M1Z6,LNDFI5220U,UDYAM-WB-02-4841005,U18834DL2006PTC446479,WB,Micro,Goods,GEM/2026/B/8930103,MINOR_ISSUES,78,MEDIUM
BID-00006,Om Traders,08JKWBQ6078D1Z4,ENDEM8088D,UDYAM-WB-02-1247595,U22224DL2012PTC274389,WB,Micro,Goods,GEM/2026/B/7358113,MINOR_ISSUES,82,LOW
BID-00007,Unity Agro,07SURME2070K1Z1,BMXNB5800H,UDYAM-RJ-13-3011363,U84668DL2012PTC707040,RJ,Small,Services,GEM/2026/B/4426900,MINOR_ISSUES,85,LOW
BID-00008,Metro Solutions,06HITBL9902I1Z3,YWWJE8769U,UDYAM-GJ-17-1131249,U97538DL2022PTC413921,GJ,Small,Goods,GEM/2026/B/5727085,MINOR_ISSUES,92,LOW
BID-00009,Vishnu Traders,04NGXBQ8031I1Z3,TOLAB8958S,UDYAM-KA-18-3484601,U66333DL2009PTC143860,KA,Medium,Works,GEM/2026/B/2724590,MAJOR_ISSUES,28,HIGH
BID-00010,Om Engineering,09GEUEK1974V1Z4,GUCWW2843Z,UDYAM-PB-08-4740036,U13101DL2011PTC517821,PB,Medium,Goods,GEM/2026/B/9996207,MAJOR_ISSUES,20,HIGH
BID-00011,Global Solutions,01GCLSI6535I1Z1,SAYNS7630V,UDYAM-UP-11-6266630,U96951DL2008PTC854717,UP,Micro,Works,GEM/2026/B/7361002,BLACKLISTED,15,HIGH
BID-00012,Silver Engineering,03AHLPR4424Z1Z3,RHRQC9238E,UDYAM-DL-01-1775337,U42092DL2020PTC740967,DL,Small,Services,GEM/2026/B/7953166,CLEAN,100,LOW
BID-00013,Apex Corp,10RATUC4195B1Z9,GWLUR9598T,UDYAM-HR-24-9468772,U65933DL2022PTC567574,HR,Small,Services,GEM/2026/B/8550917,CLEAN,100,LOW
BID-00014,Unity Textiles,04LSGIX0131G1Z2,KIMBV3790Y,UDYAM-KA-19-7381734,U72518DL2005PTC468845,KA,Small,Works,GEM/2026/B/4700025,CLEAN,100,LOW
